company,type_name,os,gpu_company,cpu_model,screen_type,touchscreen,ips_panel,ppi,ssd,hdd,flash_storage,hybrid,ram,weight,cpu_freq,price
Apple,Ultrabook,Mac,Intel,Intel Core i5,Standard,0,1,202.37276851499232,128,0,0,0,8,1.37,2.3,11.17577299704415
Apple,Ultrabook,Mac,Intel,Intel Core i5,Standard,0,0,127.67794013309688,0,0,128,0,8,1.34,1.8,10.77680815095747
HP,Notebook,Other/Linux/No,Intel,Intel Core i5,Full HD,0,0,141.21199808219862,256,0,0,0,8,1.86,2.5,10.329963707833757
Apple,Ultrabook,Mac,AMD,Intel Core i7,Standard,0,1,202.37276851499232,512,0,0,0,16,1.83,2.7,11.814480856354516
Apple,Ultrabook,Mac,Intel,Intel Core i5,Standard,0,1,202.37276851499232,256,0,0,0,8,1.37,3.1,11.473113376989318
Acer,Notebook,Windows,AMD,AMD,Standard,0,0,100.45466986113651,0,500,0,0,4,2.1,3.0,9.967072494161238
Apple,Ultrabook,Mac,Intel,Intel Core i7,Standard,0,1,202.37276851499232,0,0,256,0,16,2.04,2.2,11.644120380155954
Apple,Ultrabook,Mac,Intel,Intel Core i5,Standard,0,0,127.67794013309688,0,0,256,0,8,1.34,1.8,11.03063870601066
Asus,Ultrabook,Windows,Nvidia,Intel Core i7,Full HD,0,0,157.3505121487356,512,0,0,0,16,1.3,1.8,11.285460088006996
Acer,Ultrabook,Windows,Intel,Intel Core i5,Full HD,0,1,157.3505121487356,256,0,0,0,8,1.6,1.6,10.621985665531742
HP,Notebook,Other/Linux/No,Intel,Intel Core i5,Standard,0,0,100.45466986113651,0,500,0,0,4,1.86,2.5,9.951706124806602
HP,Notebook,Other/Linux/No,Intel,Intel Core i3,Full HD,0,0,141.21199808219862,0,500,0,0,4,1.86,2.0,9.819127203918054
Apple,Ultrabook,Mac,AMD,Intel Core i7,Standard,0,1,202.37276851499232,256,0,0,0,16,1.83,2.8,11.775312806094528
Dell,Notebook,Windows,AMD,Intel Core i3,Full HD,0,0,141.21199808219862,256,0,0,0,4,2.2,2.0,10.187989573981278
Apple,Ultrabook,Mac,Intel,Intel Other,Standard,0,1,202.37276851499232,256,0,0,0,8,0.92,1.2,11.116350720207512
Apple,Ultrabook,Mac,Intel,Intel Core i5,Standard,0,1,202.37276851499232,256,0,0,0,8,1.37,2.3,11.301080345313816
Dell,Notebook,Windows,AMD,Intel Core i7,Full HD,0,0,141.21199808219862,256,0,0,0,8,2.2,2.7,10.588980514159214
Apple,Ultrabook,Mac,AMD,Intel Core i7,Standard,0,1,202.37276851499232,512,0,0,0,16,1.83,2.9,11.933443375704686
Lenovo,Notebook,Other/Linux/No,Nvidia,Intel Core i3,Full HD,0,0,141.21199808219862,0,1024,0,0,8,2.2,2.4,10.188215265161473
Dell,Ultrabook,Windows,Intel,Intel Core i5,Full HD,1,1,165.6321180513006,128,0,0,0,8,1.22,1.6,10.862109539423722
Asus,Netbook,Windows,Intel,Intel Other,Standard,0,0,135.0942111925629,0,0,32,0,2,0.98,1.44,9.232590980911002
